severity,check_id,title,evidence,human_action,sources,review_status,reviewer_notes,next_action
review,WORLD_TYPE_COUNT_MISMATCH,World file type count claim does not match the repo,"CHANGELOG.md claims PDF/XLSX/HTML = (46, 17, 9); world_files currently has (46, 18, 9).",Update the claim or explain why the text is historical.,CHANGELOG.md,,,
review,MISSING_FILE_REFERENCE,A prompt or primary doc references a file name not found in the repo,`Lease_Abstract_01_Meridian_Financial.pdf` is referenced in prompts/agent_prompt_buildcontract_v1.md.,"Check whether this is a renamed file, a generated output, a legacy prompt, or a real missing source.",prompts/agent_prompt_buildcontract_v1.md,,,
review,MISSING_FILE_REFERENCE,A prompt or primary doc references a file name not found in the repo,`Lease_Abstract_20_SouthPark_Dental.pdf` is referenced in prompts/agent_prompt_buildcontract_v1.md.,"Check whether this is a renamed file, a generated output, a legacy prompt, or a real missing source.",prompts/agent_prompt_buildcontract_v1.md,,,
review,DEPLOYED_REPO_PATH_SPLIT,Repo docs and deployed prompt use different path contracts,"The deployed prompt uses Fropbox paths, while repo files still mention /data or /tmp/outputs. Examples: CHANGELOG.md, DEPLOYMENT_ALIGNMENT.md, HANDOFF.md, QA_ASSESSMENT.md, README.md, WORLD_LAYOUT.md, prompts/agent_prompt_buildcontract_v1.md, prompts/agent_prompt_narrative.txt.","Confirm this is an intentional local-vs-deployed split. If not, pick one contract.",deployed_task_prompt; CHANGELOG.md; DEPLOYMENT_ALIGNMENT.md; HANDOFF.md; QA_ASSESSMENT.md; README.md; WORLD_LAYOUT.md; prompts/agent_prompt_buildcontract_v1.md; prompts/agent_prompt_narrative.txt,,,
review,MIXED_PATHS_IN_ONE_FILE,One file mentions both local and Fropbox path contracts,DEPLOYMENT_ALIGNMENT.md contains both local file paths and Fropbox/Docket references.,"This can be fine in an alignment note. In an agent prompt, it is usually confusing.",DEPLOYMENT_ALIGNMENT.md,,,
review,MIXED_PATHS_IN_ONE_FILE,One file mentions both local and Fropbox path contracts,HANDOFF.md contains both local file paths and Fropbox/Docket references.,"This can be fine in an alignment note. In an agent prompt, it is usually confusing.",HANDOFF.md,,,
review,MIXED_PATHS_IN_ONE_FILE,One file mentions both local and Fropbox path contracts,QA_ASSESSMENT.md contains both local file paths and Fropbox/Docket references.,"This can be fine in an alignment note. In an agent prompt, it is usually confusing.",QA_ASSESSMENT.md,,,
review,MIXED_PATHS_IN_ONE_FILE,One file mentions both local and Fropbox path contracts,README.md contains both local file paths and Fropbox/Docket references.,"This can be fine in an alignment note. In an agent prompt, it is usually confusing.",README.md,,,
review,MIXED_PATHS_IN_ONE_FILE,One file mentions both local and Fropbox path contracts,WORLD_LAYOUT.md contains both local file paths and Fropbox/Docket references.,"This can be fine in an alignment note. In an agent prompt, it is usually confusing.",WORLD_LAYOUT.md,,,
review,RUNTIME_TOOL_SPLIT,Runtime tool claims differ between repo and deployed prompt,"The deployed prompt mentions Python spreadsheet libraries, while repo docs mention LibreOffice. Examples: CHANGELOG.md, DEPLOYMENT_ALIGNMENT.md, HANDOFF.md, QA_ASSESSMENT.md, grade.py, prompts/agent_prompt_prescriptive.txt, prompts/agent_prompt_prescriptive_v2.txt, tools/grader/README.md.",Decide whether LibreOffice is local-only or expected in deployment.,deployed_task_prompt; CHANGELOG.md; DEPLOYMENT_ALIGNMENT.md; HANDOFF.md; QA_ASSESSMENT.md; grade.py; prompts/agent_prompt_prescriptive.txt; prompts/agent_prompt_prescriptive_v2.txt; tools/grader/README.md,,,
info,REPO_HAS_TWO_SURFACES,The repo now documents both local and deployed task surfaces,"Local path docs: 12. Fropbox docs: 6. This is useful if clearly labeled, risky if copied into one prompt.",Keep the split explicit in README and handoff docs.,CHANGELOG.md; DEPLOYMENT_ALIGNMENT.md; HANDOFF.md; QA_ASSESSMENT.md; README.md; WORLD_LAYOUT.md,,,
high,SEED_EMAIL_OUTPUT_CONFLICT,Seed email gives an output path that conflicts with the deployed prompt,"The deployed prompt tells the agent to upload to `/SouthPark Centre Underwriting/Outputs`, but an email body mentions `/tmp/outputs`.",Patch the seed email or prompt. The agent should not have to guess which instruction wins.,env_snapshot; deployed_task_prompt,,,
review,SOURCE_ROOM_NEEDS_PREFLIGHT,"Verifier expects a source room, but the manager snapshot does not show drive files","Snapshot counts: drive_items=0, file_storage=0. This may be a manager snapshot limitation, so treat it as a preflight item.",Run the verifier's own source-room check against a fresh seed or query the Fropbox DB directly.,env_snapshot; deployed_verifier,,,
info,EMAIL_ATTACHMENT_ONLY_SURFACE,Snapshot looks email-attachment heavy,"Snapshot counts: messages=9, attachments=8, drive_items=0.","If the intended task needs a Fropbox source room, confirm it is visible through the task tools.",env_snapshot,,,
